path,year,model,gpu,problem,correct,tok_len,reported_completion_tokens,tokens_from_logprobs,length_consistent,len_chars,mean_token_logprob,mean_negative_logprob
results/self_classification/aime/deepseek-ai_DeepSeek-R1-Distill-Qwen-1.5B/temp_0.6/1985/I/14/gen_0/result.json,1985,deepseek-ai_DeepSeek-R1-Distill-Qwen-1.5B/temp_0.6/1985/I/14/gen_0/result.json,,14,False,12304,12304,12304,True,46129,-0.847382167183122,0.847382167183122
results/self_classification/aime/deepseek-ai_DeepSeek-R1-Distill-Qwen-1.5B/temp_0.6/1985/I/14/gen_7/result.json,1985,deepseek-ai_DeepSeek-R1-Distill-Qwen-1.5B/temp_0.6/1985/I/14/gen_7/result.json,,14,False,11697,11697,11697,True,41053,-0.7614925637518948,0.7614925637518948
results/self_classification/aime/deepseek-ai_DeepSeek-R1-Distill-Qwen-1.5B/temp_0.6/1985/I/14/gen_2/result.json,1985,deepseek-ai_DeepSeek-R1-Distill-Qwen-1.5B/temp_0.6/1985/I/14/gen_2/result.json,,14,,16000,16000,16000,True,58419,-0.8278783465330163,0.8278783465330163
results/self_classification/aime/deepseek-ai_DeepSeek-R1-Distill-Qwen-1.5B/temp_0.6/1985/I/14/gen_5/result.json,1985,deepseek-ai_DeepSeek-R1-Distill-Qwen-1.5B/temp_0.6/1985/I/14/gen_5/result.json,,14,False,9375,9375,9375,True,35658,-0.8617705339067513,0.8617705339067513
results/self_classification/aime/deepseek-ai_DeepSeek-R1-Distill-Qwen-1.5B/temp_0.6/1985/I/14/gen_3/result.json,1985,deepseek-ai_DeepSeek-R1-Distill-Qwen-1.5B/temp_0.6/1985/I/14/gen_3/result.json,,14,False,10579,10579,10579,True,40059,-0.8464367471900741,0.8464367471900741
results/self_classification/aime/deepseek-ai_DeepSeek-R1-Distill-Qwen-1.5B/temp_0.6/1985/I/14/gen_6/result.json,1985,deepseek-ai_DeepSeek-R1-Distill-Qwen-1.5B/temp_0.6/1985/I/14/gen_6/result.json,,14,False,11072,11072,11072,True,39715,-0.8073647308176569,0.8073647308176569
results/self_classification/aime/deepseek-ai_DeepSeek-R1-Distill-Qwen-1.5B/temp_0.6/1985/I/14/gen_1/result.json,1985,deepseek-ai_DeepSeek-R1-Distill-Qwen-1.5B/temp_0.6/1985/I/14/gen_1/result.json,,14,False,7955,7955,7955,True,30108,-0.7991960059526133,0.7991960059526133
results/self_classification/aime/deepseek-ai_DeepSeek-R1-Distill-Qwen-1.5B/temp_0.6/1991/I/2/gen_4/result.json,1991,deepseek-ai_DeepSeek-R1-Distill-Qwen-1.5B/temp_0.6/1991/I/2/gen_4/result.json,,2,False,7757,7757,7757,True,27696,-0.9025599063087406,0.9025599063087406
results/self_classification/aime/deepseek-ai_DeepSeek-R1-Distill-Qwen-1.5B/temp_0.6/1991/I/2/gen_0/result.json,1991,deepseek-ai_DeepSeek-R1-Distill-Qwen-1.5B/temp_0.6/1991/I/2/gen_0/result.json,,2,False,9911,9911,9911,True,29754,-0.638836666213394,0.638836666213394
results/self_classification/aime/deepseek-ai_DeepSeek-R1-Distill-Qwen-1.5B/temp_0.6/1991/I/2/gen_7/result.json,1991,deepseek-ai_DeepSeek-R1-Distill-Qwen-1.5B/temp_0.6/1991/I/2/gen_7/result.json,,2,False,11929,11929,11929,True,37961,-0.7907679784753366,0.7907679784753366
results/self_classification/aime/deepseek-ai_DeepSeek-R1-Distill-Qwen-1.5B/temp_0.6/1991/I/2/gen_2/result.json,1991,deepseek-ai_DeepSeek-R1-Distill-Qwen-1.5B/temp_0.6/1991/I/2/gen_2/result.json,,2,True,5360,5360,5360,True,17386,-0.6745968575126484,0.6745968575126484
results/self_classification/aime/deepseek-ai_DeepSeek-R1-Distill-Qwen-1.5B/temp_0.6/1991/I/2/gen_5/result.json,1991,deepseek-ai_DeepSeek-R1-Distill-Qwen-1.5B/temp_0.6/1991/I/2/gen_5/result.json,,2,False,11216,11216,11216,True,32710,-0.6571955359162492,0.6571955359162492
results/self_classification/aime/deepseek-ai_DeepSeek-R1-Distill-Qwen-1.5B/temp_0.6/1991/I/2/gen_3/result.json,1991,deepseek-ai_DeepSeek-R1-Distill-Qwen-1.5B/temp_0.6/1991/I/2/gen_3/result.json,,2,True,5470,5470,5470,True,17681,-0.6302775678193978,0.6302775678193978
results/self_classification/aime/deepseek-ai_DeepSeek-R1-Distill-Qwen-1.5B/temp_0.6/1991/I/2/gen_6/result.json,1991,deepseek-ai_DeepSeek-R1-Distill-Qwen-1.5B/temp_0.6/1991/I/2/gen_6/result.json,,2,False,12745,12745,12745,True,37316,-0.666210918892714,0.666210918892714
