problem,bucket,metric,count,mean,std,min,p25,median,p75,max
11,incorrect,response_length_tokens,504,9663.6508,2891.7239,2999.0000,7576.0000,9550.5000,11556.5000,16000.0000
11,incorrect,mean_negative_logprob,504,0.4531,0.3676,0.0000,0.0000,0.6272,0.7640,1.0046
11,incorrect,mean_logprob,504,-0.4531,0.3676,-1.0046,-0.7640,-0.6272,-0.0000,-0.0000
12,correct,response_length_chars,142,19351.2817,7839.4026,5493.0000,13936.7500,17122.0000,23732.0000,49892.0000
12,correct,response_length_tokens,142,6245.4085,2552.8649,1443.0000,4631.2500,5545.0000,7682.2500,15753.0000
12,correct,mean_negative_logprob,142,0.4963,0.2447,0.0000,0.4149,0.5314,0.6069,0.9842
12,correct,mean_logprob,142,-0.4963,0.2447,-0.9842,-0.6069,-0.5314,-0.4149,-0.0000
12,incorrect,response_length_chars,468,30454.3846,8465.2265,11223.0000,25088.0000,30575.5000,35261.0000,54594.0000
12,incorrect,response_length_tokens,468,9847.8462,2731.9670,3945.0000,7684.0000,10034.0000,11810.0000,16000.0000
12,incorrect,mean_negative_logprob,468,0.3809,0.3631,0.0000,0.0000,0.4755,0.7053,1.0661
12,incorrect,mean_logprob,468,-0.3809,0.3631,-1.0661,-0.7053,-0.4755,-0.0000,-0.0000
13,correct,response_length_chars,102,17045.2549,6544.0985,6873.0000,12902.7500,15612.0000,19220.2500,34496.0000
13,correct,response_length_tokens,102,5883.0196,2242.2632,2460.0000,4358.5000,5451.0000,6944.2500,12941.0000
13,correct,mean_negative_logprob,102,0.4848,0.2018,0.0000,0.4127,0.4968,0.5988,0.9467
13,correct,mean_logprob,102,-0.4848,0.2018,-0.9467,-0.5988,-0.4968,-0.4127,-0.0000
13,incorrect,response_length_chars,498,30672.5783,7432.6217,10597.0000,26101.0000,31627.0000,35684.0000,50387.0000
13,incorrect,response_length_tokens,498,9941.6506,2730.3762,3404.0000,8150.0000,10031.0000,11627.0000,16000.0000
13,incorrect,mean_negative_logprob,498,0.3843,0.3720,0.0000,0.0000,0.4696,0.7340,1.0856
13,incorrect,mean_logprob,498,-0.3843,0.3720,-1.0856,-0.7340,-0.4696,-0.0000,-0.0000
14,correct,response_length_chars,88,17611.2045,8055.2328,3533.0000,11200.5000,16779.0000,21169.2500,37807.0000
14,correct,response_length_tokens,88,6221.8864,2993.2846,977.0000,3912.7500,5824.0000,7863.7500,14791.0000
14,correct,mean_negative_logprob,88,0.4698,0.2104,0.0000,0.4091,0.4632,0.6120,0.8311
14,correct,mean_logprob,88,-0.4698,0.2104,-0.8311,-0.6120,-0.4632,-0.4091,-0.0000
14,incorrect,response_length_chars,550,29673.6945,8418.7767,7512.0000,24395.7500,29266.0000,35144.5000,58429.0000
14,incorrect,response_length_tokens,550,9384.9273,2967.8447,2375.0000,7403.7500,9345.0000,11362.2500,16000.0000
14,incorrect,mean_negative_logprob,550,0.4599,0.3922,0.0000,0.0000,0.6070,0.7652,1.1578
14,incorrect,mean_logprob,550,-0.4599,0.3922,-1.1578,-0.7652,-0.6070,-0.0000,-0.0000
15,correct,response_length_chars,34,16539.0000,8872.8194,5819.0000,8804.0000,15845.0000,20707.0000,39922.0000
15,correct,response_length_tokens,34,5646.5294,2542.9014,2256.0000,2928.0000,6155.0000,7752.0000,9814.0000
15,correct,mean_negative_logprob,34,0.3486,0.2932,0.0000,0.0000,0.4215,0.5153,0.9217
15,correct,mean_logprob,34,-0.3486,0.2932,-0.9217,-0.5153,-0.4215,-0.0000,-0.0000
15,incorrect,response_length_chars,568,30635.8134,7322.2685,11006.0000,26756.7500,30746.5000,34876.5000,51200.0000
15,incorrect,response_length_tokens,568,9339.2746,2637.6641,2445.0000,7527.0000,9569.5000,11235.0000,16000.0000
15,incorrect,mean_negative_logprob,568,0.4662,0.4014,0.0000,0.0000,0.5978,0.8145,1.1346
15,incorrect,mean_logprob,568,-0.4662,0.4014,-1.1346,-0.8145,-0.5978,-0.0000,-0.0000
