path,year,model,gpu,problem,correct,tok_len,reported_completion_tokens,tokens_from_logprobs,length_consistent,len_chars,mean_token_logprob,mean_negative_logprob
experiment_archive/2025-09-05_13-31-54_deepseek-ai_DeepSeek-R1-Distill-Qwen-1.5B/self_classification/aime/deepseek-ai_DeepSeek-R1-Distill-Qwen-1.5B/temp_0.6/2000/I/7/gen_6/result.json,2000,deepseek-ai_DeepSeek-R1-Distill-Qwen-1.5B/self_classification/aime/deepseek-ai_DeepSeek-R1-Distill-Qwen-1.5B/temp_0.6/2000/I/7/gen_6/result.json,,7,True,2376,2376,2376,True,5962,-0.2736480725645157,0.2736480725645157
experiment_archive/2025-09-05_13-31-54_deepseek-ai_DeepSeek-R1-Distill-Qwen-1.5B/self_classification/aime/deepseek-ai_DeepSeek-R1-Distill-Qwen-1.5B/temp_0.6/2000/I/7/gen_1/result.json,2000,deepseek-ai_DeepSeek-R1-Distill-Qwen-1.5B/self_classification/aime/deepseek-ai_DeepSeek-R1-Distill-Qwen-1.5B/temp_0.6/2000/I/7/gen_1/result.json,,7,True,3578,3578,3578,True,9448,-0.3880567174011799,0.3880567174011799
experiment_archive/2025-09-05_13-31-54_deepseek-ai_DeepSeek-R1-Distill-Qwen-1.5B/self_classification/aime/deepseek-ai_DeepSeek-R1-Distill-Qwen-1.5B/temp_0.6/2000/I/10/gen_4/result.json,2000,deepseek-ai_DeepSeek-R1-Distill-Qwen-1.5B/self_classification/aime/deepseek-ai_DeepSeek-R1-Distill-Qwen-1.5B/temp_0.6/2000/I/10/gen_4/result.json,,10,True,3357,3357,3357,True,9244,-0.31079011344030305,0.31079011344030305
experiment_archive/2025-09-05_13-31-54_deepseek-ai_DeepSeek-R1-Distill-Qwen-1.5B/self_classification/aime/deepseek-ai_DeepSeek-R1-Distill-Qwen-1.5B/temp_0.6/2000/I/10/gen_0/result.json,2000,deepseek-ai_DeepSeek-R1-Distill-Qwen-1.5B/self_classification/aime/deepseek-ai_DeepSeek-R1-Distill-Qwen-1.5B/temp_0.6/2000/I/10/gen_0/result.json,,10,True,2677,2677,2677,True,7209,-0.23873479616908577,0.23873479616908577
experiment_archive/2025-09-05_13-31-54_deepseek-ai_DeepSeek-R1-Distill-Qwen-1.5B/self_classification/aime/deepseek-ai_DeepSeek-R1-Distill-Qwen-1.5B/temp_0.6/2000/I/10/gen_7/result.json,2000,deepseek-ai_DeepSeek-R1-Distill-Qwen-1.5B/self_classification/aime/deepseek-ai_DeepSeek-R1-Distill-Qwen-1.5B/temp_0.6/2000/I/10/gen_7/result.json,,10,True,2824,2824,2824,True,7823,-0.29859424644641286,0.29859424644641286
experiment_archive/2025-09-05_13-31-54_deepseek-ai_DeepSeek-R1-Distill-Qwen-1.5B/self_classification/aime/deepseek-ai_DeepSeek-R1-Distill-Qwen-1.5B/temp_0.6/2000/I/10/gen_2/result.json,2000,deepseek-ai_DeepSeek-R1-Distill-Qwen-1.5B/self_classification/aime/deepseek-ai_DeepSeek-R1-Distill-Qwen-1.5B/temp_0.6/2000/I/10/gen_2/result.json,,10,True,3522,3522,3522,True,9491,-0.32569847251074424,0.32569847251074424
experiment_archive/2025-09-05_13-31-54_deepseek-ai_DeepSeek-R1-Distill-Qwen-1.5B/self_classification/aime/deepseek-ai_DeepSeek-R1-Distill-Qwen-1.5B/temp_0.6/2000/I/10/gen_5/result.json,2000,deepseek-ai_DeepSeek-R1-Distill-Qwen-1.5B/self_classification/aime/deepseek-ai_DeepSeek-R1-Distill-Qwen-1.5B/temp_0.6/2000/I/10/gen_5/result.json,,10,True,3169,3169,3169,True,8202,-0.36121052224288674,0.36121052224288674
experiment_archive/2025-09-05_13-31-54_deepseek-ai_DeepSeek-R1-Distill-Qwen-1.5B/self_classification/aime/deepseek-ai_DeepSeek-R1-Distill-Qwen-1.5B/temp_0.6/2000/I/10/gen_3/result.json,2000,deepseek-ai_DeepSeek-R1-Distill-Qwen-1.5B/self_classification/aime/deepseek-ai_DeepSeek-R1-Distill-Qwen-1.5B/temp_0.6/2000/I/10/gen_3/result.json,,10,True,2119,2119,2119,True,5690,-0.29552908985709414,0.29552908985709414
experiment_archive/2025-09-05_13-31-54_deepseek-ai_DeepSeek-R1-Distill-Qwen-1.5B/self_classification/aime/deepseek-ai_DeepSeek-R1-Distill-Qwen-1.5B/temp_0.6/2000/I/10/gen_6/result.json,2000,deepseek-ai_DeepSeek-R1-Distill-Qwen-1.5B/self_classification/aime/deepseek-ai_DeepSeek-R1-Distill-Qwen-1.5B/temp_0.6/2000/I/10/gen_6/result.json,,10,True,2460,2460,2460,True,6411,-0.2665767460685885,0.2665767460685885
experiment_archive/2025-09-05_13-31-54_deepseek-ai_DeepSeek-R1-Distill-Qwen-1.5B/self_classification/aime/deepseek-ai_DeepSeek-R1-Distill-Qwen-1.5B/temp_0.6/2000/I/10/gen_1/result.json,2000,deepseek-ai_DeepSeek-R1-Distill-Qwen-1.5B/self_classification/aime/deepseek-ai_DeepSeek-R1-Distill-Qwen-1.5B/temp_0.6/2000/I/10/gen_1/result.json,,10,True,3677,3677,3677,True,10081,-0.38676833522354637,0.38676833522354637
experiment_archive/2025-09-05_13-31-54_deepseek-ai_DeepSeek-R1-Distill-Qwen-1.5B/self_classification/aime/deepseek-ai_DeepSeek-R1-Distill-Qwen-1.5B/temp_0.6/2000/I/8/gen_4/result.json,2000,deepseek-ai_DeepSeek-R1-Distill-Qwen-1.5B/self_classification/aime/deepseek-ai_DeepSeek-R1-Distill-Qwen-1.5B/temp_0.6/2000/I/8/gen_4/result.json,,8,False,10352,10352,10352,True,38503,-0.9560608773432067,0.9560608773432067
experiment_archive/2025-09-05_13-31-54_deepseek-ai_DeepSeek-R1-Distill-Qwen-1.5B/self_classification/aime/deepseek-ai_DeepSeek-R1-Distill-Qwen-1.5B/temp_0.6/2000/I/8/gen_0/result.json,2000,deepseek-ai_DeepSeek-R1-Distill-Qwen-1.5B/self_classification/aime/deepseek-ai_DeepSeek-R1-Distill-Qwen-1.5B/temp_0.6/2000/I/8/gen_0/result.json,,8,False,4347,4347,4347,True,13721,-0.46097115209193,0.46097115209193
experiment_archive/2025-09-05_13-31-54_deepseek-ai_DeepSeek-R1-Distill-Qwen-1.5B/self_classification/aime/deepseek-ai_DeepSeek-R1-Distill-Qwen-1.5B/temp_0.6/2000/I/8/gen_7/result.json,2000,deepseek-ai_DeepSeek-R1-Distill-Qwen-1.5B/self_classification/aime/deepseek-ai_DeepSeek-R1-Distill-Qwen-1.5B/temp_0.6/2000/I/8/gen_7/result.json,,8,False,7946,7946,7946,True,28532,-0.8703546598341189,0.8703546598341189
