problem,bucket,metric,count,mean,std,min,p25,median,p75,max
10,correct,mean_negative_logprob,122,0.5612,0.1750,0.2387,0.4338,0.5499,0.6810,0.9678
10,correct,mean_logprob,122,-0.5612,0.1750,-0.9678,-0.6810,-0.5499,-0.4338,-0.2387
10,incorrect,response_length_chars,396,29901.5783,8644.6366,8146.0000,24115.0000,30288.0000,36489.5000,48063.0000
10,incorrect,response_length_tokens,396,9416.5253,3092.3248,2334.0000,7176.2500,9490.5000,11437.7500,16000.0000
10,incorrect,mean_negative_logprob,396,0.7174,0.1519,0.3268,0.6172,0.7077,0.8319,1.1382
10,incorrect,mean_logprob,396,-0.7174,0.1519,-1.1382,-0.8319,-0.7077,-0.6172,-0.3268
11,correct,response_length_chars,105,18500.9905,7572.6587,7402.0000,13602.0000,16684.0000,21888.0000,41504.0000
11,correct,response_length_tokens,105,6040.9333,2410.6163,2011.0000,4433.0000,5828.0000,7139.0000,12713.0000
11,correct,mean_negative_logprob,105,0.5653,0.1112,0.2645,0.4914,0.5718,0.6217,0.8168
11,correct,mean_logprob,105,-0.5653,0.1112,-0.8168,-0.6217,-0.5718,-0.4914,-0.2645
11,incorrect,response_length_chars,418,29956.5837,8477.6326,9355.0000,24339.0000,30626.5000,35575.0000,54534.0000
11,incorrect,response_length_tokens,418,9542.9498,2866.1737,2999.0000,7577.0000,9524.0000,11500.0000,16000.0000
11,incorrect,mean_negative_logprob,418,0.7157,0.1340,0.3450,0.6312,0.7118,0.8151,1.0046
11,incorrect,mean_logprob,418,-0.7157,0.1340,-1.0046,-0.8151,-0.7118,-0.6312,-0.3450
12,correct,response_length_chars,136,18977.9926,7462.6770,5493.0000,13923.0000,17022.5000,23776.5000,38370.0000
12,correct,response_length_tokens,136,6074.3235,2445.2144,1443.0000,4449.5000,5494.0000,7723.0000,12114.0000
12,correct,mean_negative_logprob,136,0.5779,0.1517,0.3136,0.4704,0.5592,0.6318,0.9842
12,correct,mean_logprob,136,-0.5779,0.1517,-0.9842,-0.6318,-0.5592,-0.4704,-0.3136
12,incorrect,response_length_chars,359,30119.0000,8586.6033,10851.0000,24709.0000,29553.0000,35002.0000,57031.0000
12,incorrect,response_length_tokens,359,9742.5682,2701.2815,3567.0000,7642.5000,9580.0000,11562.0000,16000.0000
